ຈັນທະບູລີ,Chanthabuly
ສີໂຄດຕະບອງ,Sikhottabong
ໄຊເສດຖາ,Xaysetha
ສີສັດຕະນາກ,Sisattanak
ນາຊາຍທອງ,Naxaithong
ໄຊທານີ,Xaythany
ຫາດຊາຍຟອງ,Hadxayfong
ສັງທອງ,Sangthong
ປາກງື່ມ,Mayparkngum
ຜົ້ງສາລີ,Phongsaly
ໃໝ່,May
ຂວາ,Khoua
ສຳພັນ,Samphanh
ບຸນເໜືອ,Boun Neua
ຍອດອູ,Yot Ou
ບຸນໃຕ້,Boun Tay
ຫຼວງນໍ້າທາ,Namtha
ສີງ,Muang Sing
ລອງ,Long
ວຽງພູຄາ,Viengphoukha
ນາແລ,Na Le
ໄຊ,Xay
ຫຼາ,La
ນາໝໍ້,Na Mo
ງາ,Nga
ແບ່ງ,Beng
ຮຸນ,Houne
ປາກແບ່ງ,Pak Beng
ຫ້ວຍຊາຍ,Houay Xay
ຕົ້ນເຜິ້ງ,Ton Pheung
ເມິງ,Meung
ຜາອຸດົມ,Pha Oudom
ປາກທາ,Pak Tha
ຫຼວງພະບາງ,Luang Prabang
ຊຽງເງິນ,Xiengngeun
ນານ,Nane
ປາກອູ,Pak Ou
ນ້ຳບາກ,Nam Bak
ງອຍ,Ngoy
ປາກແຊງ,Pak Seng
ໂພນໄຊ,Phonxay
ຈອມເພັດ,Chomphet
ວຽງຄຳ,Viengkham
ພູຄູນ,Phoukhoune
ໂພນທອງ,Phonthong
ຊຳເໜືອ,Xam Neua
ຊຽງຄໍ້,Xiengkho
ວຽງທອງ,Hiam
ວຽງໄຊ,Viengxay
ຫົວ,Houameuang
ຊຳໃຕ້,Samtay
ສົບເບົາ,Sop Bao
ແອດ,Et
ກອັນ,Kone
ຊ່ອນ,Xon
ໄຊຍະບູລີ,Sainyabuli
ຄອບ,Khop
ຫົງສາ,Hongsa
ເງິນ,Ngeun
ຊຽງຮ່ອນ,Xienghone
ພຽງ,Phiang
ປາກລາຍ,Parklai
ແກ່ນທ້າວ,Kenethao
ບໍ່ແຕນ,Botene
ທົ່ງມີໄຊ,Thongmyxay
ໄຊສະຖານ,Xaisathan
ແປກ,Pek
ຄຳ,Kham
ໜອງແຮດ,Nong Het
ຄູນ,Khoune
ໝອກໃໝ່,Mok May
ພູກູດ,Phou Kout
ຜາໄຊ,Phaxay
ໂພນໂຮງ,Phonhong
ທຸລະຄົມ,Thoulakhom
ແກ້ວອຸດົມ,Keo Oudom
ກາສີ,Kasy
ວັງວຽງ,Vang Vieng
ເຟືອງ,Feuang
ຊະນະຄາມ,Xanakharm
ແມດ,Mad
ວຽງຄໍາ,Viengkham
ຫີນເຫີບ,Hinhurp
ໝື່ນ,Meun
ປາກຊັນ,Paksane
ທ່າພະບາດ,Thaphabat
ປາກກະດິງ,Pakkading
ບໍລິຄັນ,Borikhane
ຄຳເກີດ,Khamkeut
ວຽງທອງ,Viengthong
ທ່າແຂກ,Thakhek
ມະຫາໄຊ,Mahaxay
ໜອງບົກ,Nong Bok
ຫີນບູນ,Hineboune
ຍົມມະລາດ,Yommalath
ບົວລະພາ,Boualapha
ມືອງນາກາຍ,Nakai
ເຊບັ້ງໄຟ,Sebangphay
ໄຊບົວທອງ,Saybouathong
ຄູນຄຳ,Kounkham
ໄກສອນ ພົມວິຫານ,Kaysone Phomvihane
ອຸທຸມພອນ,Outhoumphone
ອາດສະພັງທອງ,Atsaphangthong
ພີນ,Phine
ເຊໂປນ,Seponh
ນອງ,Nong
ທ່າປາງທອງ,Thapangthong
ສອງຄອນ,Songkhone
ຈຳພອນ,Champhone
ຊົນນະບູລີ,Khanthaboury
ໄຊບູລີ,Xayboury
ວີລະບຸລີ,Viraboury
ອາດສະພອນ,Assaphone
ໄຊພູທອງ,Xonboury
ພະລານໄຊ,Thaphalanxay
ສາລະວັນ,Saravane
ຕະໂອ້ຍ,Ta Oy
ຕຸ້ມລານ,Toumlane
ລະຄອນເພັງ,Lakhonepheng
ວາປີ,Vapy
ຄົງເຊໂດນ,Khongsedone
ເລົ່າງາມ,Lao Ngam
ສະມ້ວຍ,Sa Mouay
ລະມາມ,La Mam
ກະເລິມ,Kaleum
ດາກຈຶງ,Dak Cheung
ທ່າແຕງ,Tha Teng
ປາກເຊ,Paksé
ຊະນະສົມບູນ,Sanasomboun
ບາຈຽງຈະເລີນສຸກ,Batiengchaleunsouk
ປາກຊ່ອງ,Paksong
ປະທຸມພອນ,Pathouphone
ໂພນທອງ,Phonthong
ຈຳປາສັກ,Champassak
ສຸຂຸມາ,Soukhoumma
ມູນລະປະໂມກ,Mounlapamok
ໂຂງ,Khong
ໄຊເຊດຖາ,Saysetha
ສາມັກຄີໄຊ,Samakkhixay
ສະໜາມໄຊ,Sanamxay
ສານໄຊ,Sanxay
ພູວົງ,Phouvong
ອະນຸວົງ,Anouvong
ລ້ອງແຈ້ງ,Longchaeng
ລ້ອງຊານ,Longxan
ໝື່ນ,Hom
ທ່າໂທມ,Thathom